0.0,0.0,0.0016,0.0,0.154,-1.0,0.174
0.0593,0.0001,0.0077,0.0067,0.164,-1.0,0.174
0.1133,0.0007,0.0144,0.0135,0.23,-1.0,0.175
0.1664,0.0016,0.0175,0.0168,0.27,-1.0,0.175
0.2192,0.0028,0.0292,0.0284,0.32,-1.0,0.175
0.2741,0.0048,0.0396,0.039,0.383,-1.0,0.172
0.3259,0.0069,0.0438,0.0429,0.419,-1.0,0.172
0.3794,0.0094,0.0514,0.0507,0.477,-1.0,0.17
0.4322,0.0123,0.0564,0.0558,0.54,-1.0,0.167
0.4866,0.0155,0.0644,0.0637,0.573,-1.0,0.165
0.54,0.0191,0.0665,0.0661,0.632,-1.0,0.161
0.593,0.0228,0.0734,0.0727,0.692,-1.0,0.156
0.6452,0.0268,0.081,0.0806,0.731,-1.0,0.152
0.6992,0.0315,0.0902,0.0897,0.789,-1.0,0.148
0.7521,0.0364,0.0934,0.0938,-1.0,-1.0,0.142
0.8053,0.0416,0.1018,0.1012,-1.0,-1.0,0.139
0.8573,0.0471,0.109,0.1086,-1.0,-1.0,0.133
0.909,0.053,0.1185,0.1177,-1.0,-1.0,0.127
0.9638,0.0596,0.122,0.1216,-1.0,-1.0,0.122
1.0215,0.0669,0.1291,0.1288,-1.0,-1.0,0.111
1.0744,0.0739,0.1314,0.131,-1.0,-1.0,0.105
1.1286,0.0792,0.0489,0.0487,-1.0,-1.0,0.1
1.1825,0.0794,-0.0475,-0.0477,-1.0,-1.0,0.101
1.2358,0.0744,-0.1453,-0.1454,-1.0,-1.0,0.114
1.2882,0.0643,-0.2389,-0.2392,0.128,-1.0,0.13
1.3399,0.0493,-0.3278,-0.3282,0.155,-1.0,0.141
1.3896,0.03,-0.4177,-0.4181,0.165,-1.0,0.167
1.4373,0.0062,-0.5154,-0.5158,0.195,-1.0,0.2
1.4826,-0.0223,-0.6118,-0.6064,0.219,-1.0,0.222
1.5229,-0.0529,-0.6926,-0.6932,0.259,-1.0,0.258
1.5631,-0.0893,-0.7856,-0.7862,0.301,-1.0,0.301
1.599,-0.1287,-0.8835,-0.8842,0.332,-1.0,0.336
1.6312,-0.1717,-0.9809,-0.981,0.383,-1.0,0.387
1.6592,-0.2178,-1.0727,-1.0718,0.436,-1.0,0.435
1.6827,-0.2659,-1.1653,-1.1639,0.477,-1.0,0.474
1.7017,-0.3166,-1.2628,-1.2598,0.532,-1.0,-1.0
1.7152,-0.3669,-1.3569,-1.3578,0.591,-1.0,-1.0
1.725,-0.4195,-1.4089,-1.4097,0.629,-1.0,-1.0
1.7312,-0.4734,-1.5059,-1.5066,0.689,-1.0,-1.0
1.7321,-0.5268,-1.6042,-1.6049,0.749,-1.0,-1.0
1.7296,-0.5779,-1.6298,-1.6299,0.784,-1.0,-1.0
1.7259,-0.6322,-1.65,-1.6506,-1.0,-1.0,-1.0
1.721,-0.6864,-1.669,-1.6695,-1.0,-1.0,-1.0
1.7149,-0.7441,-1.6869,-1.6874,-1.0,-1.0,0.577
1.709,-0.798,-1.6491,-1.6504,-1.0,-1.0,0.6
1.7055,-0.852,-1.6295,-1.6306,-1.0,0.732,0.593
1.7024,-0.9048,-1.6248,-1.6255,-1.0,0.726,0.601
1.6999,-0.9586,-1.6145,-1.6152,-1.0,0.725,0.605
1.6977,-1.0099,-1.6094,-1.6102,-1.0,0.722,0.607
1.6957,-1.0646,-1.606,-1.6069,-1.0,0.721,0.611
1.6939,-1.1177,-1.6013,-1.6021,-1.0,0.719,0.612
